CAS RN,Chemical name,Australian Inventory of Industrial Chemicals (Inventory) listing,Safe Work Australia HCIS,ECHA Annex VI CLP,International Agency for Research on Cancer,United States National Toxicology Program Report on Carcinogens,European Commission Endocrine Disruptor Strategy,United Nations Environment Programme EDC,Government of Canada Toxic Substances List,ECHA Annex XIV,EU Substances of Very High Concern,Chemical Substance Control Law Japan,European Commission Endocrine Disruptor List,Date entry was added to the list
1304-56-9,beryllium oxide; Beryllium oxide (BeO),Listed - public,Carcinogenicity 1B H350,Carc. 1B H350,-,-,-,-,-,-,-,-,-,01-July-2020
1305-99-3,calcium phosphide; tricalcium diphosphide,-,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
1306-19-0,Cadmium oxide (CdO) (non-pyrophoric),Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341; Reproductive toxicity 2 H361fd,Carc. 1B H350; Muta. 2 H341; Repr. 2 H361fd; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,Carcinogenic (Article 57a); Specific target organ toxicity after repeated exposure (Article 57(f) - human health),-,-,01-July-2020
1306-23-6,cadmium sulphide; cadmium sulfide,Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341; Reproductive toxicity 2 H361fd,Carc. 1B H350; Muta. 2 H341; Repr. 2 H361fd,-,-,-,-,-,-,Carcinogenic (Article 57a); Specific target organ toxicity after repeated exposure (Article 57(f) - human health),-,-,01-July-2020
1306-24-7,Cadmium selenide (CdSe),Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341; Reproductive toxicity 2 H361fd,-,-,-,-,-,-,-,-,-,-,01-July-2020
1307-96-6,cobalt oxide,Listed - public,Reproductive toxicity 1B H360F,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1309-60-0,Lead oxide (PbO2),Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
1309-64-4,antimony trioxide,Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
1312-73-8,dipotassium sulphide;   potassium sulphide; Potassium sulfide (K2S); dipotassium sulfide,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
1313-27-5,molybdenum oxide (MoO3),Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
1313-82-2,disodium sulfide;   sodium sulfide; Sodium sulfide (Na2S),Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
1313-99-1,"Nickel oxide, (NiO); Nickel monoxide",Listed - public,Carcinogenicity 1A H350,Carc. 1A H350,-,-,-,-,-,-,-,-,-,01-July-2020
1314-04-1,millerite,-,-,Carc. 1B H350; Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1314-05-2,nickel selenide,-,-,Carc. 1B H350; Aquatic Acute I H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1314-06-3,dinickel trioxide,Listed - public,-,Carc. 1A H350,-,-,-,-,-,-,-,-,-,01-July-2020
1314-13-2,zinc oxide,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1314-20-1,Thorium Dioxide (see Ionizing Radiation),Listed - public,-,-,-,Known human carcinogen,-,-,-,-,-,-,-,01-July-2020
1314-27-8,Lead oxide (Pb2O3),Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
1314-41-6,Lead oxide (Pb3O4),Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
1314-62-1,Vanadium pentoxide,Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 2 H361fd; Aquatic (chronic) 1 H410,Muta. 2 H341; Repr. 2 H361d,Group 2B,-,-,-,Schedule 1,-,-,-,-,01-July-2020
1314-80-3,diphosphorus pentasulphide;  phosphorus pentasulphide; diphosphorus pentasulfide; phosphorus pentasulfide,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
1314-84-7,trizinc diphosphide;  zinc phosphide,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1314-85-8,tetraphosphorus trisulphide;  phosphorus sesquisulphid; tetraphosphorus trisulfide; phosphorus sesquisulfid,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
1314-87-0,Lead sulfide (PbS),Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
1317-36-8,Lead oxide (PbO),Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
1317-38-0,copper(II) oxide,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1317-39-1,dicopper oxide; copper (I) oxide,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1317-42-6,cobalt sulfide,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1317-95-9,Microcrystalline Silica (respirable crystalline fraction),Listed - public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,01-July-2020
1318-33-8,Colemanite (CaH(BO2)3.2H2O),Listed - public,Reproductive toxicity 1B H360FD,-,-,-,-,-,-,-,-,-,-,01-July-2020
1319-33-1,Ulexite,Listed - public,Reproductive toxicity 1B H360FD,-,-,-,-,-,-,-,-,-,-,01-July-2020
1319-46-6,"Lead, bis(carbonato(2-))dihydroxytri-",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
1321-64-8,penthachloronaphthalene,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,Class I,-,01-July-2020
1321-65-9,Trichloronaphthalene,-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
1323-65-5,"Phenol, dinonyl-",Listed - Public,Reproductive toxicity 2 H361fd,-,-,-,-,-,-,-,-,-,-,24-September-2024
1327-53-3,Arsenic oxide (As2O3); Diarsenic trioxide; Arsenic trioxide,Listed - public,Carcinogenicity 1A H350; Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Carc. 1B H350; Aquatic Acute I H400; Aquatic Chronic 1 H410,-,-,-,-,-,Carcinogenic (Article 57a),Carcinogenic (Article 57a),-,-,01-July-2020
1330-43-4,"disodium tetraborate, anhydrous;  boric acid, disodium salt",Listed - public,Reproductive toxicity 1B H360FD,Repr. 1B H360FD,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
1330-78-5,"Phosphoric acid, tris(methylphenyl) ester",Listed - Public,Reproductive toxicity 1B H360F,-,-,-,-,-,-,-,-,-,-,24-September-2024
1332-07-6,"Boric acid, zinc salt",Listed - public,Reproductive toxicity 1B H360FD,-,-,-,-,-,-,-,-,-,-,01-July-2020
1332-21-4,Asbestos,Listed - public,-,-,Group 1,Known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
1332-65-6,dicopper chloride trihydroxide,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1332-77-0,"Boric acid (H2B4O7), dipotassium salt",Listed - public,Reproductive toxicity 1B H360FD,-,-,-,-,-,-,-,-,-,-,01-July-2020
1333-22-8,tetracopper hexahydroxide sulphate; tetracopper hexahydroxide sulfate,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1333-73-9,"Boric acid, sodium salt",-,-,-,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,24-September-2024
1333-82-0,Chromium (VI) trioxide; Chromium oxide (CrO3),Listed - public,Carcinogenicity 1A H350; Reproductive toxicity 1B H360; Aquatic (chronic) 1 H410,Carc. 1A H350; Muta. 1B H340; Repr. 2 H361f; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,Carcinogenic (Article 57a)#Mutagenic (Article 57b),Carcinogenic (Article 57a); Mutagenic (Article 57b),-,-,01-July-2020
1333-86-4,Carbon black,Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
1333-88-6,Aluminium cobalt oxide (Al2CoO4),Listed - public,Reproductive toxicity 1B H360F,-,-,-,-,-,-,-,-,-,-,01-July-2020
1335-25-7,Lead oxide,Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
1335-31-5,dimercury dicyanide oxide;  mercuric oxycyanide,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1335-32-6,"Lead, bis(acetato-O)tetrahydroxytri-; Lead acetate, basic",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df; Aquatic (chronic) 1 H410,Carc. 2 H351; Repr. 1A H360Df; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1335-87-1,Hexachloronaphthalene,-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
1335-88-2,Tetrachloronaphthalene,-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
1336-21-6,ammonia ....%; Ammonium hydroxide; ,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
1336-36-3,polychlorobiphenyls;  PCB,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 1,Reasonably anticipated to be a known human carcinogen,Category 1,-,-,-,-,Class I,-,01-July-2020
1338-02-9,"Naphthenic acids, copper salts;  copper naphthenate",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1338-23-4,"2-Butanone, peroxide",Listed - public,Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
1344-08-7,sodium polysulphides; sodium polysulfides,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
1344-37-2,C.I. Pigment Yellow 34,Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df; Aquatic (chronic) 1 H410,Carc. 1B H350; Repr. 1A H360Df; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,Schedule 1,Carcinogenic (Article 57a)#Toxic for reproduction (Article 57c),Carcinogenic (Article 57a); Toxic for reproduction (Article 57c),-,-,01-July-2020
1344-38-3,C.I. Pigment Orange 21,Listed - Public,Carcinogenicity 1B H350;  Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,24-September-2024
1344-40-7,"Lead oxide phosphonate (Pb3O2(HPO3)), hemihydrate",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
1344-81-6,calcium polysulphides; calcium polysulfides,-,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
1345-19-3,Cobalt tin oxide (CoSnO3),Listed - public,Reproductive toxicity 1B H360F,-,-,-,-,-,-,-,-,-,-,01-July-2020
1402-68-2,"Aflatoxins (B1, B2, G1, G2, M1)",-,-,-,Group 1,Known human carcinogen,-,-,-,-,-,-,-,01-July-2020
1420-06-0,trifenmorph (ISO);  4-tritylmorpholine,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1420-07-1,"dinoterb (ISO);  2-tert-butyl-4,6-dinitrophenol",-,Reproductive toxicity 1B H360D; Aquatic (chronic) 1 H410,Repr. 1B H360D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1436-34-6,"Oxirane, butyl-",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
1449-55-4,tetracyclohexylstannane,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1453-58-3,3-methylpyrazole,-,Reproductive toxicity 1B H360D,Repr. 1B H360D,-,-,-,-,-,-,-,-,-,24-September-2024
1461-25-2,Tetrabutyltin (TTBT),Listed - public,-,-,-,-,Category 1,-,-,-,-,-,-,01-July-2020
1464-53-5,"2,2'-bioxirane;  1,2:3,4-diepoxybutane",-,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,Group 1,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
1468-37-7,dimexano (ISO);  bis(methoxythiocarbonyl) disulphide; bis(methoxythiocarbonyl) disulfide,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1484-13-5,9-vinylcarbazole,Listed - public,Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1522-92-5,"2,2-dimethylpropan-1-ol, tribromo derivative; 3-bromo-2,2-bis(bromomethyl)propan-1-ol",-,-,Carc. 1B H350; Muta. 2 H341,-,-,-,-,-,-,Carcinogenic (Article 57a),-,-,24-September-2024
1560-69-6,"Propanoic acid, cobalt(2+) salt",Listed - public,Carcinogenicity 1B H350; Reproductive toxicity 1B H360F,-,-,-,-,-,-,-,-,-,-,01-July-2020
1563-66-2,"carbofuran (ISO);  2,3-dihydro-2,2-dimethylbenzofuran-7-yl N-methylcarbamate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1570-64-5,4-chloro-o-cresol;  4-chloro-2-methyl phenol,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
1571-75-1,"1,1-bis(4-hydroxyphenyl)-1-phenylethane",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1582-09-8,"trifluralin (ISO) (containing < 0.5 ppm NPDA);  a,a,a-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine (containing < 0.5 ppm NPDA);  2,6-dinitro-N,N-dipropyl-4-trifluoromethylaniline (containing < 0.5 ppm NPDA);  N,N-dipropyl-2,6-dinitro-4-trifluoromethylaniline (containing < 0.5 ppm NPDA)",-,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 3,-,-,-,-,-,-,-,-,01-July-2020
1589-47-5,"1-Propanol, 2-methoxy-",Listed - public,Reproductive toxicity 1B H360D,Repr. 1B H360D,-,-,-,-,Schedule 1,-,-,-,-,01-July-2020
1593-77-7,"dodemorph (ISO); 4-cyclododecyl-2,6-dimethylmorpholine",-,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Repr. 2 H361D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1596-84-5,"daminozide (ISO); 4-(2,2-dimethylhydrazino)-4-oxobutanoic acid; N-dimethylaminosuccinamic acid",-,-,Carc. 2 H351,-,-,-,-,-,-,-,-,-,24-September-2024
1615-80-1,"1,2-Diethylhydrazine",-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
1634-04-4,Methyl tertiary-butyl ether,Listed - public,-,-,Group 3,-,-,Identified EDC,-,-,-,-,-,01-July-2020
1671-49-4,4-mesyl-2-nitrotoluene,-,Reproductive toxicity 2 H361f,Repr. 2 H361f,-,-,-,-,-,-,-,-,-,01-July-2020
1689-83-4,"ioxynil (ISO);  4-hydroxy-3,5-diiodobenzonitrile",-,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Repr. 2 H361D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1689-84-5,"bromoxynil (ISO);  3,5-dibromo-4-hydroxybenzonitrile;  bromoxynil phenol",-,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Repr. 2 H361D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1689-99-2,"bromoxynil octanoate (ISO);  2,6-dibromo-4-cyanophenyl octanoate",-,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Repr. 2 H361D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1694-09-3,"benzyl violet 4B; a-[4-(4-dimethylamino-a-{}{4-[ethyl(3-sodiosulphonatobenzyl)amino] phenyl}}benzylidene)cyclohexa-2,5-dienylidene(ethyl)ammonio]toluene-3-sulphonate; Benzenemethanaminium, N-[4-[[4-(dimethylamino)phenyl][4-[ethyl[(3-sulfophenyl)methyl]amino]phenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-3-sulfo-, hydroxide, inner salt, sodium salt; a-[4-(4-dimethylamino-a-{}{4-[ethyl(3-sodiosulfonatobenzyl)amino] phenyl}}benzylidene)cyclohexa-2,5-dienylidene(ethyl)ammonio]toluene-3-sulfonate",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
1698-60-8,chloridazon (ISO);  5-amino-4-chloro-2-phenylpyridazine-3-(2H)-one;  pyrazon,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1746-01-6,"2,3,7,8-Tetrachlorodibenzo-para-dioxin",-,-,-,Group 1,Known human carcinogen,-,-,-,-,-,-,-,01-July-2020
1746-81-2,monolinuron (ISO);  3-(4-chlorophenyl)-1-methoxy-1-methylurea,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1762-26-1,"Plumbane, ethyltrimethyl-",Listed - public,Carcinogenicity 2 H351; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
1762-27-2,"Plumbane, diethyldimethyl-",Listed - public,Carcinogenicity 2 H351; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
1762-28-3,"Plumbane, triethylmethyl-",Listed - public,Carcinogenicity 2 H351; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
1763-23-1,perfluorooctane sulfonic acid;  heptadecafluorooctane-1-sulfonic acid,-,Carcinogenicity  2 H351; Reproductive toxicity 1B H360D; Reproductive toxicity (lactation) H362,Carc. 2 H351; Repr. 1B H360D; Lact. H362,-,-,-,-,-,-,-,Class I,-,01-July-2020
1823-82-4,"citric acid, ammonium nickel salt",-,-,Carc. 1A H350; Muta. 2 H341; Repr. 1B H360D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1825-30-5,"1,5-Dichloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
1825-31-6,"1,4-Dichloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
1836-75-5,"nitrofen (ISO);  2,4-dichlorophenyl 4-nitrophenyl ether",-,Carcinogenicity 1A H350; Reproductive toxicity 1B H360D; Aquatic (chronic) 1 H410,Carc. 1B H350; Repr. 1B H360D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 2B,Reasonably anticipated to be a known human carcinogen,Category 1,-,-,-,-,-,-,01-July-2020
1897-41-2,"1,4-Dicyano-2,3,5,6-tetra-chloro-benzene",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1897-45-6,chlorothalonil (ISO);  tetrachloroisophthalonitrile,Listed - public,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
1910-42-5,"paraquat dichloride;  1,1-dimethyl-4,4'-bipyridinium dichloride",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1912-24-9,"atrazine (ISO);  2-chloro-4-ethylamine-6-isopropylamine-1,3,5-triazine",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 3,-,Category 1,-,-,-,-,-,-,01-July-2020
1918-16-7,propachlor (ISO);  2-chloro-N-isopropylacetanilide;  a-chloro-N-isopropylacetanilide,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
1929-82-4,nitrapyrin (ISO);  2-chloro-6-trichloromethylpyridine,Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
1937-37-7,"C.I. Direct Black 38; disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo]-5-hydroxy-6-(phenylazo)naphtalene-2,7-disulphonate; 2,7-Naphthalenedisulfonic acid, 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo]-5-hydroxy-6-(phenylazo)-, disodium salt; disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo]-5-hydroxy-6-(phenylazo)naphtalene-2,7-disulfonate",Listed - public,Carcinogenicity 1B H350; Reproductive toxicity 2 H361,Carc. 1B H350; Repr. 2 H361d,Group 1,-,-,-,-,-,Carcinogenic (Article 57a),-,-,01-July-2020
1951-97-9,piperazine phosphate,Listed - public,Reproductive toxicity 2 H361fd,Repr. 2 H361fd,-,-,-,-,-,-,-,-,-,01-July-2020
1983-10-4,"Stannane, tributylfluoro-",-,-,-,-,-,-,-,-,-,-,-,-,01-July-2020
1983-10-4,Tributan-1-yl(fluoro)stannane,-,-,-,-,-,Category 1,-,-,-,-,Class II,-,01-July-2020
1987-50-4,4-Heptylphenol,-,-,-,-,-,-,Identified EDC,-,-,Endocrine disrupting properties (Article 57(f) - environment),-,-,01-July-2020
2032-59-9,aminocarb (ISO);  4-dimethylamino-3-tolyl methylcarbamate,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
2032-65-7,"mercaptodimethur (ISO);  methiocarb (ISO);  3,5-dimethyl-4-methylthiophenyl N-methylcarbamate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
2040-90-6,2-chloro-6-fluoro-phenol,-,Mutagenicity 2 H341; Reproductive toxicity 2 H361f; Aquatic (chronic) 1 H410,Muta. 1B H340; Repr. 2 H361f,-,-,-,-,-,-,-,-,-,01-July-2020
2044-48-3,Bis(pentachlorophenyl) carbonate,-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2050-67-1,"3,3'-dichlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2050-68-2,"4,4'-dichlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2050-69-3,"1,2-Dichloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2050-72-8,"1,6-Dichloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2050-73-9,"1,7-Dichloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2050-74-0,"1,8-Dichloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2050-75-1,"2,3-Dichloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2051-24-3,"2,2',3,3',4,4',5,5',6,6'-decachlorobiphenyl",Listed - public,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2051-60-7,2-chlorobiphenyl,-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2051-61-8,3-chlorobiphenyl,-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2051-62-9,4-chlorobiphenyl,-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2051-79-8,"N5,N5-diethyltoluene-2,5-diamine monohydrochloride; 4-diethylamino-2-methylaniline monohydrochloride; 1,4-Benzenediamine, N4,N4-diethyl-2-methyl-, monohydrochloride",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
2058-94-8,Henicosafluoroundecanoic acid,-,-,-,-,-,-,-,-,-,vPvB (Article 57e),-,-,01-July-2020
2065-70-5,"2,6-Dichloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
2074-50-2,"paraquat dimethylsulfate;  1,1-dimethyl-4,4'-bipyridinium dimethyl sulphate; 1,1-dimethyl-4,4'-bipyridinium dimethyl sulfate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
2094-99-7,2-(3-(prop-1-en-2-yl)phenyl)prop-2-yl isocyanate,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
2095-01-4,"2,6-diamino-3,5-diethyltoluene;  4,6-diethyl-2-methyl-1,3-benzenediamine",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
2095-02-5,"2,4-diamino-3,5-diethyltoluene;  2,4-diethyl-6-methyl-1,3-benzenediamine",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
